Text 1,Text 2,Cosine Similarity
Climate change is causing significant changes in global weather patterns.,Rising temperatures are affecting ecosystems around the world.,0.5828
Doctors are using artificial intelligence to assist with medical diagnosis.,Modern hospitals use digital systems to manage patient information.,0.512
Scientists discovered new evidence about the formation of distant galaxies.,Space telescopes help astronomers study objects in the universe.,0.4999
Electric vehicles are becoming more popular because they produce fewer emissions.,Battery technology is important for the future of electric transportation.,0.4997
Researchers are developing new technologies for renewable energy.,Solar power is becoming an important source of clean electricity.,0.4977
Researchers are developing new technologies for renewable energy.,Battery technology is important for the future of electric transportation.,0.4764
Cybersecurity protects computer systems from unauthorized access.,Strong passwords can help users protect their online accounts.,0.4708
Artificial intelligence is transforming many industries around the world.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.4431
Artificial intelligence is transforming many industries around the world.,Machine learning allows computers to learn patterns from data.,0.4359
Social media platforms allow people to communicate and share information.,Digital communication has changed the way people interact with each other.,0.4121
Modern hospitals use digital systems to manage patient information.,Digital communication has changed the way people interact with each other.,0.4117
Solar power is becoming an important source of clean electricity.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.3972
Solar power is becoming an important source of clean electricity.,Battery technology is important for the future of electric transportation.,0.387
Machine learning allows computers to learn patterns from data.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.3831
Researchers are developing new technologies for renewable energy.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.369
Online learning provides students with access to educational resources.,Social media platforms allow people to communicate and share information.,0.3352
Online learning provides students with access to educational resources.,Strong passwords can help users protect their online accounts.,0.3016
Strong passwords can help users protect their online accounts.,Social media platforms allow people to communicate and share information.,0.2885
Modern hospitals use digital systems to manage patient information.,Social media platforms allow people to communicate and share information.,0.2882
Artificial intelligence is transforming many industries around the world.,Digital communication has changed the way people interact with each other.,0.2836
Machine learning allows computers to learn patterns from data.,Modern hospitals use digital systems to manage patient information.,0.2662
Artificial intelligence is transforming many industries around the world.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.2636
Artificial intelligence is transforming many industries around the world.,Modern hospitals use digital systems to manage patient information.,0.2597
Machine learning allows computers to learn patterns from data.,Cybersecurity protects computer systems from unauthorized access.,0.2592
Machine learning allows computers to learn patterns from data.,Social media platforms allow people to communicate and share information.,0.2543
Machine learning allows computers to learn patterns from data.,Online learning provides students with access to educational resources.,0.2516
Machine learning allows computers to learn patterns from data.,Climate change is causing significant changes in global weather patterns.,0.2473
The government announced new measures to improve public education.,Online learning provides students with access to educational resources.,0.2384
Artificial intelligence is transforming many industries around the world.,Solar power is becoming an important source of clean electricity.,0.2323
Online learning provides students with access to educational resources.,Cybersecurity protects computer systems from unauthorized access.,0.2319
Online learning provides students with access to educational resources.,Modern hospitals use digital systems to manage patient information.,0.2311
Artificial intelligence is transforming many industries around the world.,Climate change is causing significant changes in global weather patterns.,0.2293
Artificial intelligence is transforming many industries around the world.,Researchers are developing new technologies for renewable energy.,0.2285
Artificial intelligence is transforming many industries around the world.,Battery technology is important for the future of electric transportation.,0.2214
Climate change is causing significant changes in global weather patterns.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.2207
Researchers are developing new technologies for renewable energy.,Climate change is causing significant changes in global weather patterns.,0.2206
Modern hospitals use digital systems to manage patient information.,Cybersecurity protects computer systems from unauthorized access.,0.2203
Machine learning allows computers to learn patterns from data.,Space telescopes help astronomers study objects in the universe.,0.2202
Modern hospitals use digital systems to manage patient information.,Strong passwords can help users protect their online accounts.,0.2063
Climate change is causing significant changes in global weather patterns.,Digital communication has changed the way people interact with each other.,0.2043
The government announced new measures to improve public education.,Digital communication has changed the way people interact with each other.,0.203
Solar power is becoming an important source of clean electricity.,The government announced new measures to improve public education.,0.2013
Machine learning allows computers to learn patterns from data.,Athletes require regular training to improve their performance.,0.1975
Online learning provides students with access to educational resources.,Digital communication has changed the way people interact with each other.,0.1954
Researchers are developing new technologies for renewable energy.,Social media platforms allow people to communicate and share information.,0.191
Solar power is becoming an important source of clean electricity.,Climate change is causing significant changes in global weather patterns.,0.1905
The government announced new measures to improve public education.,Athletes require regular training to improve their performance.,0.19
